Pnum,Section,Owner,Mixed species,Species,State code,Closed,Clear date,Missing entire brood,Suspected predation,Lay date,April lay date,Lay date uncertainty,Lay date visit interval,Laying rate,Incubation started,Num broken eggs,Expected hatch date,Hatch date,April hatch date,Incubation duration,Total egg weight,Num eggs weighed,Clutch size,Num chicks,Num chicks ringed,April ring date,Ring day,Num live chicks,Num dead chicks,Num fledglings,Mean chick weight,Num linked pulli records,Num linked adult records,Father,Mother,Identified adults,Chick ids,Dead ringed chick ids,Experiment codes,Num eggs manipulated,Comments,Legacy average egg weight,Legacy max nest state code,Legacy last visit date,Legacy hatch age in days,Legacy april hatch date,Legacy predation,Legacy clutch accuracy,Legacy mean fledge weight,Legacy num ringed dead chicks
20201B163,b,Keith Mc Mahon,false,b,6,true,04-06-2020,,,18-04-2020,18,0,6,1.00,true,0,10-05-2020,10-05-2020,40,12,3.10,3,11,10,8,54,15,8,5,5,8.25,8,3,afh3486,afh3316,"01011742ce, 01101742ce, 0700ee1f9f",,"avl3347, avl3343, avl3341",,0,not hatched,,,,,,,,,
20201B164,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B165,b,Keith Mc Mahon,false,g,6,true,22-05-2020,true,,23-04-2020,23,0,3,1.00,true,0,13-05-2020,16-05-2020,46,16,5.50,3,8,7,0,,,,0,0,,0,0,,,,,,,0,chicks cold and hungry,,,,,,,,,
20201B166,b,Keith Mc Mahon,false,,6,true,26-05-2020,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B168,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B169,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B170,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B170A,b,Keith Mc Mahon,false,g,6,true,26-05-2020,,,22-04-2020,22,0,3,1.00,true,0,12-05-2020,12-05-2020,42,13,5.00,3,8,8,0,,,,2,0,,0,3,tr43319,tr43325,"tr43325, 0700ed97bf, 0110179196",,,,0,"fon ringed, not hatched, yd looked about 13/14",,,,,,,,,
20201B171,b,Keith Mc Mahon,false,b,6,true,31-05-2020,,,20-05-2020,50,16,22,,true,0,08-06-2020,,,,,,7,,0,,,,0,0,,0,0,,z628418,z628418,,,,0,eggs cold,,,,,,,,,
20201B172,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B173,b,Keith Mc Mahon,false,b,6,true,27-05-2020,,,17-04-2020,17,0,6,1.00,true,0,06-05-2020,05-05-2020,35,11,,,8,7,7,49,15,7,0,7,11.89,7,3,avl3023,abj6250,"abj6250, 01103f9155, avl3023",,,,0,"ring read on nest, not hatched female off nest still warm, not hatched fon, not hatched fon, not hatched, female",,,,,,,,,
20201B174,b,Keith Mc Mahon,false,g,6,true,04-06-2020,,,22-04-2020,22,0,3,1.00,true,0,10-05-2020,10-05-2020,40,12,5.00,3,7,7,7,54,15,7,0,7,18.10,7,2,vs84187,vz30933,"vs84187, vz30933",,,,0,"not hatched, nothing on fp fon no yn",,,,,,,,,
20201B175,b,Keith Mc Mahon,false,g,6,true,26-05-2020,,,20-04-2020,20,0,6,,,0,,,,,5.50,3,3,,0,,,,0,0,,0,0,,,,,,,0,"fleas on eggs, looks abandoned",,,,,,,,,
20201B176,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
